country_code,total_years,year_coverage,gdp_completeness,pop_completeness,overall_completeness,shock_coverage,shock_coverage_rate,quality_score,meets_criteria
ARG,33,0.9705882352941176,1.0,1.0,1.0,5,1.0,0.9911764705882353,True
NZL,33,0.9705882352941176,1.0,1.0,1.0,5,1.0,0.9911764705882353,True
ITA,33,0.9705882352941176,1.0,1.0,1.0,5,1.0,0.9911764705882353,True
JPN,33,0.9705882352941176,1.0,1.0,1.0,5,1.0,0.9911764705882353,True
KOR,33,0.9705882352941176,1.0,1.0,1.0,5,1.0,0.9911764705882353,True
MEX,33,0.9705882352941176,1.0,1.0,1.0,5,1.0,0.9911764705882353,True
MYS,33,0.9705882352941176,1.0,1.0,1.0,5,1.0,0.9911764705882353,True
NLD,33,0.9705882352941176,1.0,1.0,1.0,5,1.0,0.9911764705882353,True
NOR,33,0.9705882352941176,1.0,1.0,1.0,5,1.0,0.9911764705882353,True
PHL,33,0.9705882352941176,1.0,1.0,1.0,5,1.0,0.9911764705882353,True
AUS,33,0.9705882352941176,1.0,1.0,1.0,5,1.0,0.9911764705882353,True
POL,33,0.9705882352941176,1.0,1.0,1.0,5,1.0,0.9911764705882353,True
PRT,33,0.9705882352941176,1.0,1.0,1.0,5,1.0,0.9911764705882353,True
RUS,33,0.9705882352941176,1.0,1.0,1.0,5,1.0,0.9911764705882353,True
SWE,33,0.9705882352941176,1.0,1.0,1.0,5,1.0,0.9911764705882353,True
THA,33,0.9705882352941176,1.0,1.0,1.0,5,1.0,0.9911764705882353,True
TUR,33,0.9705882352941176,1.0,1.0,1.0,5,1.0,0.9911764705882353,True
USA,33,0.9705882352941176,1.0,1.0,1.0,5,1.0,0.9911764705882353,True
IRL,33,0.9705882352941176,1.0,1.0,1.0,5,1.0,0.9911764705882353,True
IND,33,0.9705882352941176,1.0,1.0,1.0,5,1.0,0.9911764705882353,True
IDN,33,0.9705882352941176,1.0,1.0,1.0,5,1.0,0.9911764705882353,True
HUN,33,0.9705882352941176,1.0,1.0,1.0,5,1.0,0.9911764705882353,True
AUT,33,0.9705882352941176,1.0,1.0,1.0,5,1.0,0.9911764705882353,True
BEL,33,0.9705882352941176,1.0,1.0,1.0,5,1.0,0.9911764705882353,True
BRA,33,0.9705882352941176,1.0,1.0,1.0,5,1.0,0.9911764705882353,True
CAN,33,0.9705882352941176,1.0,1.0,1.0,5,1.0,0.9911764705882353,True
CHE,33,0.9705882352941176,1.0,1.0,1.0,5,1.0,0.9911764705882353,True
CHL,33,0.9705882352941176,1.0,1.0,1.0,5,1.0,0.9911764705882353,True
CHN,33,0.9705882352941176,1.0,1.0,1.0,5,1.0,0.9911764705882353,True
COL,33,0.9705882352941176,1.0,1.0,1.0,5,1.0,0.9911764705882353,True
CZE,33,0.9705882352941176,1.0,1.0,1.0,5,1.0,0.9911764705882353,True
DEU,33,0.9705882352941176,1.0,1.0,1.0,5,1.0,0.9911764705882353,True
DNK,33,0.9705882352941176,1.0,1.0,1.0,5,1.0,0.9911764705882353,True
ESP,33,0.9705882352941176,1.0,1.0,1.0,5,1.0,0.9911764705882353,True
FIN,33,0.9705882352941176,1.0,1.0,1.0,5,1.0,0.9911764705882353,True
FRA,33,0.9705882352941176,1.0,1.0,1.0,5,1.0,0.9911764705882353,True
GBR,33,0.9705882352941176,1.0,1.0,1.0,5,1.0,0.9911764705882353,True
ZAF,33,0.9705882352941176,1.0,1.0,1.0,5,1.0,0.9911764705882353,True
